ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-31,2784.3170505405087,1129.5742707132138,4391.27026306627,2784.3170505405087,2784.3170505405087,-31.862311837473957,-31.862311837473957,-31.862311837473957,-31.862311837473957,-31.862311837473957,-31.862311837473957,0.0,0.0,0.0,2752.4547387030348
2022-04-01,2784.0016141746432,977.5703145060813,4372.323921092366,2784.0016141746432,2784.0016141746432,-147.58504704099838,-147.58504704099838,-147.58504704099838,-147.58504704099838,-147.58504704099838,-147.58504704099838,0.0,0.0,0.0,2636.416567133645
2022-04-02,2783.6861778087773,1021.2979958274796,4557.966798490007,2783.6861778087773,2783.6861778087773,18.333063927686638,18.333063927686638,18.333063927686638,18.333063927686638,18.333063927686638,18.333063927686638,0.0,0.0,0.0,2802.0192417364638
2022-04-03,2783.3707414429114,1201.202040467251,4450.937459184798,2783.3707414429114,2783.3707414429114,5.551561857957441,5.551561857957441,5.551561857957441,5.551561857957441,5.551561857957441,5.551561857957441,0.0,0.0,0.0,2788.922303300869
2022-04-04,2783.055305077046,1333.934979422324,4728.347745752741,2783.055305077046,2783.055305077046,152.5541573713671,152.5541573713671,152.5541573713671,152.5541573713671,152.5541573713671,152.5541573713671,0.0,0.0,0.0,2935.609462448413
2022-04-05,2782.73986871118,973.9501355009263,4441.787901961941,2782.73986871118,2782.73986871118,-67.66198722978928,-67.66198722978928,-67.66198722978928,-67.66198722978928,-67.66198722978928,-67.66198722978928,0.0,0.0,0.0,2715.0778814813907
2022-04-06,2782.4244323453145,1240.8253662748402,4444.891391434036,2782.4244323453145,2782.4244323453145,70.67056295106423,70.67056295106423,70.67056295106423,70.67056295106423,70.67056295106423,70.67056295106423,0.0,0.0,0.0,2853.094995296379
2022-04-07,2782.1089960455793,1071.386300739997,4400.3524806690075,2782.1089960455793,2782.1089960455793,-31.862311837408942,-31.862311837408942,-31.862311837408942,-31.862311837408942,-31.862311837408942,-31.862311837408942,0.0,0.0,0.0,2750.2466842081703
2022-04-08,2781.7935597458445,901.4442901788183,4377.38819152226,2781.7935597458445,2781.7935597458445,-147.58504704115677,-147.58504704115677,-147.58504704115677,-147.58504704115677,-147.58504704115677,-147.58504704115677,0.0,0.0,0.0,2634.2085127046876
2022-04-10,2781.162687146374,1150.2285289915858,4478.349588712656,2781.162687146374,2781.162687146374,5.551561857691486,5.551561857691486,5.551561857691486,5.551561857691486,5.551561857691486,5.551561857691486,0.0,0.0,0.0,2786.7142490040656
2022-04-11,2780.847250846639,1238.6717290895474,4611.365323104845,2780.847250846639,2780.847250846639,152.55415737137017,152.55415737137017,152.55415737137017,152.55415737137017,152.55415737137017,152.55415737137017,0.0,0.0,0.0,2933.4014082180092
2022-04-12,2780.5318145469037,996.4085741225097,4239.932151964197,2780.5318145469037,2780.5318145469037,-67.66198722971734,-67.66198722971734,-67.66198722971734,-67.66198722971734,-67.66198722971734,-67.66198722971734,0.0,0.0,0.0,2712.8698273171863
